game,who_won
771,h-yellow
772,d-yellow
773,h-yellow
774,h-red
775,h-red
776,d-red
777,d-yellow
778,d-red
779,h-red
780,h-yellow
781,d-red
782,h-red
783,h-yellow
784,tie
785,d-yellow
786,h-yellow
787,h-yellow
788,d-red
789,d-red
790,d-yellow
791,h-yellow
792,d-yellow
793,h-red
794,d-red
795,d-yellow
796,h-red
797,h-yellow
798,h-yellow
799,d-yellow
800,h-yellow
801,d-yellow
802,h-red
803,h-yellow
804,h-red
805,h-red
806,h-yellow
807,d-yellow
808,d-yellow
809,h-red
810,h-yellow
811,h-yellow
812,h-red
813,d-yellow
814,d-red
815,tie
816,h-red
817,h-red
818,h-yellow
819,d-yellow
820,d-yellow
821,d-red
822,d-red
823,h-red
824,v-yellow
825,h-yellow
826,d-yellow
827,h-yellow
828,h-red
829,h-red
830,d-yellow
831,h-yellow
832,v-red
833,h-yellow
834,d-red
835,d-red
836,v-red
837,d-red
838,d-yellow
839,h-yellow
840,h-yellow
841,h-yellow
842,v-yellow
843,d-red
844,h-yellow
845,h-yellow
846,h-yellow
847,h-yellow
848,h-yellow
849,v-yellow
850,d-yellow
851,h-yellow
852,h-yellow
853,h-red
854,tie
855,d-yellow
856,d-red
857,d-red
858,d-red
859,h-red
860,v-yellow
861,d-red
862,h-yellow
863,d-red
864,h-red
865,h-yellow
866,v-red
867,h-yellow
868,h-yellow
869,h-yellow
870,d-red
871,h-yellow
872,d-yellow
873,h-yellow
874,d-red
875,d-red
876,tie
877,d-red
878,h-red
879,v-red
880,d-yellow
881,h-yellow
882,h-red
883,d-red
884,h-yellow
885,d-yellow
886,d-red
887,d-yellow
888,h-yellow
889,d-yellow
890,h-red
891,h-red
892,h-yellow
893,v-yellow
894,h-red
895,d-yellow
896,d-red
897,h-red
898,h-red
899,v-yellow
900,h-yellow
901,d-red
902,d-yellow
903,h-red
904,d-red
905,v-red
906,d-red
907,h-red
908,tie
909,h-yellow
910,h-yellow
911,d-yellow
912,h-yellow
913,h-yellow
914,d-yellow
915,h-yellow
916,d-yellow
917,h-red
918,d-yellow
919,h-red
920,v-red
921,d-red
922,h-red
923,d-yellow
